2025-03-25 22:17:57 INFO  main [BitmapTexture] Loading texture "Frame.jpg"
2025-03-25 22:17:57 INFO  main [BitmapTexture] Loading texture "Frame.jpg"
2025-03-25 22:17:57 INFO  main [BitmapTexture] Loading texture "Frame.jpg"
2025-03-25 22:17:57 INFO  main [BitmapTexture] Loading texture "Frame.jpg"
2025-03-25 22:17:57 INFO  main [BitmapTexture] Loading texture "picure4-grey.jpg"
2025-03-25 22:17:57 INFO  main [MIPMap] Mapped MIP map cache file "/home/julia/PBRT/PMM_focal_guiding/mitsuba/../scenes/living-room/textures/picure4-grey.mip" into memory (15.8 MiB).
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.eta.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.k.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [PluginManager] Loading plugin "plugins/thindielectric.so" ..
2025-03-25 22:17:57 INFO  main [PluginManager] Loading plugin "plugins/conductor.so" ..
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.eta.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.k.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.eta.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.k.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.eta.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.k.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.eta.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.k.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [BitmapTexture] Loading texture "radio-dial-idea.jpg"
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.eta.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.k.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [PluginManager] Loading plugin "plugins/spot.so" ..
2025-03-25 22:17:57 INFO  main [PluginManager] Loading plugin "plugins/ply.so" ..
2025-03-25 22:17:57 INFO  main [PLYLoader] Loading geometry from "Emitter.ply" ..
2025-03-25 22:17:57 INFO  main [PLYLoader] "Emitter": Loaded 1376 triangles, 758 vertices (39.8 KiB in 4 ms).
2025-03-25 22:17:57 INFO  main [PLYLoader] Loading geometry from "Emitter_001.ply" ..
2025-03-25 22:17:57 INFO  main [PLYLoader] "Emitter_001": Loaded 1376 triangles, 758 vertices (39.8 KiB in 3 ms).
2025-03-25 22:17:57 INFO  main [PLYLoader] Loading geometry from "Emitter_002.ply" ..
2025-03-25 22:17:57 INFO  main [PLYLoader] "Emitter_002": Loaded 1376 triangles, 758 vertices (39.8 KiB in 2 ms).
2025-03-25 22:17:57 INFO  main [PLYLoader] Loading geometry from "Emitter_004.ply" ..
2025-03-25 22:17:57 INFO  main [PLYLoader] "Emitter_004": Loaded 1376 triangles, 758 vertices (39.8 KiB in 2 ms).
2025-03-25 22:17:57 INFO  main [PLYLoader] Loading geometry from "Emitter_003.ply" ..
2025-03-25 22:17:57 INFO  main [PLYLoader] "Emitter_003": Loaded 1376 triangles, 758 vertices (39.8 KiB in 2 ms).
2025-03-25 22:17:57 INFO  main [PluginManager] Loading plugin "plugins/obj.so" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh138.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh138: 896 triangles, 464 vertices (merged 2224 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh138.obj" (took 7 ms)
2025-03-25 22:17:57 INFO  main [PluginManager] Loading plugin "plugins/rectangle.so" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh113.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh113: 1104 triangles, 554 vertices (merged 2758 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh113.obj" (took 6 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh087.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh087: 1200 triangles, 602 vertices (merged 2998 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh087.obj" (took 7 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh110.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh110: 1296 triangles, 650 vertices (merged 3238 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh110.obj" (took 8 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh128.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh128: 76 triangles, 126 vertices (merged 102 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh128.obj" (took 9 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh095.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh095: 768 triangles, 429 vertices (merged 1875 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh095.obj" (took 10 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh076.obj" ..
